file_name,caption_number,caption
Distorted AM Radio noise.wav,caption_1,A muddled noise of broken channel of the TV
Paper_Parchment_Rustling.wav,caption_1,A person is turning a map over and over.
03 Whales Slowing Down.wav,caption_1,Several barnyard animals mooing in a barn while it rains outside.
Rope tied to boat in port.wav,caption_1,An office chair is squeaking as someone bends back and forth in it.
carpenter bee.wav,caption_1,A flying bee is buzzing loudly around an object and its wing hits it.
violin1.wav,caption_1,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.
121006_rain&amp;storm.wav,caption_1,"As thunder claps far in the distance, the rain pours down."
draaiorgel2.wav,caption_1,Something goes round that is playing its song.
Officejet Printer.wav,caption_1,A paper printer is printing off multiple pages.
Stockholm subway C20 train departing.wav,caption_1,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off."
metalTunnel.wav,caption_1,A very robotic synth modulates and reverberates within itself
Ambience Night crickets.wav,caption_1,A serene bit of nightfall is met by crickets chirping
Maria Hernandez Park September 1st.wav,caption_1,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.
Traffic Light.wav,caption_1,A group of people is standing on the street near a busy freeway.
jettish.wav,caption_1,"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly."
broken comms2.wav,caption_1,A radio cycling through stations as it is being repaired.
wind3.wav,caption_1,Air is being forced through a small opening and almost making whistling noises.
Drinking Through Straw.wav,caption_1,"A cold, icy drink is stirred and then sipped through a straw until it is gone."
the swarm v31m3.wav,caption_1,"A built up sound comprised of whining, chirping and other sounds that slowly dies off."
Giant 1.wav,caption_1,"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background."
dull metal.wav,caption_1,A person is making noise by tapping their fingernails on a solid surface.
Small Chain Clanging.wav,caption_1,A person crunches through dried leaves on the ground.
Hitting Tall Grass.wav,caption_1,A person slowly clears high growth vegetation outdoors
Thunder Storm Daytona 3.wav,caption_1,A clap of thunder coupled with the running water.
smoking in car.wav,caption_1,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.
Huston we have a problem (before &amp; after cleaning).wav,caption_1,A female voice communicates over a static walkie-talkie.
Subping03.wav,caption_1,A bell sound rings and echoes and slowly returns.
sheep on pasture.wav,caption_1,A baby lamb baaing and an adult lamb baaing while walking through grass.
je_footstepsCement.wav,caption_1,A person walks on a scratchy surface in a frequent manner
Geroezemoes.wav,caption_1,"A great number of people of all sorts of ages converse with each other, including a small child."
paper01.wav,caption_1,A book being flipped through over and over.
0400 Traffic_police.wav,caption_1,A car idling then somebody blowing a whistle while motorcycles pass by
"Crowd ambience, eating popcorn.wav",caption_1,"A short distance away, a group of people engage in indistinguishable chatter."
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav",caption_1,"A person was walking on a sidewalk adjacent to a school, where children were playing on the playground."
Fan_Ventilation_Stereo 4.wav,caption_1,A large industrial machine was whirring inside of a room.
Cicadas and birds in a hot summer noon.wav,caption_1,Animals and insects are making their usual sounds in a meadow.
150209 Trevor Webb Beard Trimming.wav,caption_1,A hair trimmer being used to cut hair.
16_Rain_Light_Ocean_44_16.wav,caption_1,A camp fire crackles as the flames burn branches and leaves.
160718 HSN boy on tricycle passing by.wav,caption_1,A lot of noise is coming from a factory engine.
remix of 130879__frederic-font__05-hang-song-1.wav,caption_1,An upbeat melody of music is repeatedly playing.
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,caption_1,A hand held sander was used as various speeds.
fridaynight.wav,caption_1,A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.
ClockTicking.wav,caption_1,A machine is making a loud clicking noise.
Running.wav,caption_1,"Chains are rattling while a horse is moving, then a man coughs."
opening and closing a loft door.wav,caption_1,"A man moves from the basement to upstairs, moving a heavy metal object with him."
Breaking Glass .wav,caption_1,"A person shatters multiple glass objects, and then bangs on things."
arsta.wav,caption_1,Storm wind blows in the dense forest and makes a peaceful sound.
Dog splashing in a lake.wav,caption_1,"A dog jumped into the water and swim and then came out panting, it shook its body"
20100402.Brugge.street.04.wav,caption_1,A group is in a carriage that is being drawn by a horse on a paved road.
DOOR_sliding_fthrll.wav,caption_1,A loud foot stomp interrupts the rhythmic use of the old adding machine.
20110220_river.wav,caption_1,A boat rises above the large waves while a person yells something.
20130723_Rain1.wav,caption_1,A car honks from the midst of a rainstorm.
SFX_001.wav,caption_1,Beautiful pipe organ music is played before trailing off into silence.
steel water.wav,caption_1,A person tapping a hollow brass bell indoors.
A swing is squeaking at night. (Ukraine.wav,caption_1,A high pitched wind instrument is played over and over the notes make a high pitched squeal.
Lively Forest Stream (loop).wav,caption_1,A river flows and water trickles down the rocks.
Bangles put on arm.wav,caption_1,A crystal and metal big lamp is being hung.
AMB_Supermarket_BCN.wav,caption_1,A cashier at a grocery store scanning items.
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,caption_1,A farm has several oinking hogs in it.
Anti Air Gun (3 Sounds).wav,caption_1,"A gun starts shooting continuously, a second and third gun join in after a few seconds."
City Ambience w_ Car Passing_1-2.wav,caption_1,A truck drives down a road before fading into the distance.
Goin wee wee.wav,caption_1,A person noisily uses and then flushes a toilet.
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,caption_1,A car engine getting louder and tires moving over crunching gravel.
Baby crying slowed down.wav,caption_1,"A creature grunts like human, mumbles as time progresses."
driving_buying_beer_on_sunday.wav,caption_1,A guy is speaking with the screaming of a person in the background
pc_mouse.wav,caption_1,A bored person is tapping and rubbing their fingers on a tabletop.
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,caption_1,A public transport alerts its passengers and states something.
hugeSlidingDoorSlamECM800.wav,caption_1,Somebody hammers wood while another opens and shuts a major sliding entryway.
Boa Constrictor.wav,caption_1,A butane fire roars to live and fades out and then fades back into life
bohinj_forestFootsteps.wav,caption_1,A small fire crackling and footsteps of the user in a wooded area.
"Uh, Hi, Mom. I Crashed the Car.wav",caption_1,A man is speaking at a very slow pace.
Busy Coffee Shop.wav,caption_1,A coffee machine operates as people converse in the background.
Water Pour and Drink.wav,caption_1,"A person fills up a glass with a beverage, then quickly chugs it and breathes heavily"
outdoors ambient windy wind leaves rustle.wav,caption_1,A sizzle pan has some items being scooped inside its cooking oil.
vacuum power head.wav,caption_1,A blow dryer running a little loudly and having its ups and downs.
Buddhist Bells.wav,caption_1,A bell is rung threes times and the ringing fades away between each ring.
Packaging Paper Pen Scribble.wav,caption_1,Somebody writing and making a tapping noise in the foreground.
kitchen-door.wav,caption_1,A door creaks open and closes followed by footsteps
cd_load_26sedit.wav,caption_1,A radio is in between stations and playing static.
dishwasher beep and motor.wav,caption_1,"A machine started moving stopped, adjusted and continued working"
dryer_long_1.wav,caption_1,"A hairdryer is blowing, getting a little louder, and continuing."
Sugar Packet.wav,caption_1,A container of pills are shaken back and forth harshly then at a steady beat then fast and harsh.
Heavy Rain 1.wav,caption_1,A Heavy rain storm violently hits the ground.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,caption_1,A person roams around then they strolls away.
CivicSI.Accelerating.1.wav,caption_1,"A motor bike is started, and it revs its engine, before racing past while changing gears."
Windshield Wiper.wav,caption_1,"After vigorous cleaning, water is running and a brush is scrubbing."
Pasta bag shuffling.wav,caption_1,Packing paper is being loudly crunched by a person.
Oie 01.wav,caption_1,A duck vigorously squeaking and anther duck joined it.
cooking onions.wav,caption_1,A pan with frying food arranged while a boy talks.
trainsounds.wav,caption_1,A faint rumble of machinery is obscured by moving furniture followed by a high pitched squeal.
Creaking and squeaking of old headsets.wav,caption_1,A person performing a delicate engineering task including operation of a winding mechanism.
Rain_inside_of_a_Car.wav,caption_1,It is raining and hailing on the roof top.
Crows chattering.wav,caption_1,A bird squeaks rapidly while another bird in the background gradually does the same.
picht-type-writer.wav,caption_1,A person is typing fast on a typewriter.
